id,article_number,model,brand,product_description,product_description_long,buying_price,ean_code,costs,margin,dealer_margin,currency
1,,OR-1,ORCA,Orca Camera Accessories Pouch,"For all Orca shoulder camera bags
internal dimensions (L X W X H) : 10.2 x 3.5 x 4.7"" / 26 x 9 x 12 cm)",25,7290015563000,1.02,0.75,0.8,usd
2,OR113196,OR-4,ORCA,"Orca Shoulder Camera Bag with Large External Pockets - 1  -  will be discontinued, while stock last ","Sony HXR-NX30E, HMC-50, PXW-X70, Sony PXW-Z90V 4K, PXW-X70 4K, Panasonic AC-90 & similarly sized cameras.internal dimensions (L X W X H) : 13.8 x 7.9 x 9.0"" / 35.1 x 20.1 x 22.9 cm",189,7290015563017,1.02,0.75,0.8,usd
3,OR113197,OR-5,ORCA,Orca Shoulder Camera Bag with Large  External Pockets - 2,"Sony: HXR-NX30E, PXW-X70-4K, PXW-Z90V 4K, Panasonic: AC-90 ,AC-30. Canon: XF-400,XA-11,XF-405 & similarly sized cameras, internal dimensions (L X W X H) : 15 x 9.4 x 9.8"" / 38 x 24 x 25 cm",228,7290015564199,1.02,0.75,0.8,usd
4,OR113198,OR-10,ORCA,Orca Trolley Video Bag ,"Sony PXW FS7, FS7K, Z-280, PXW-X200, PXW-Z150, HXR-NX3, PMW-100/150/200, Panasonic EVA-1, DVX 200, AG-AC130A/160A/270A JVC-HM-620, CANON: XF-300 & similarly sized cameras, internal dimensions (L X W X H) :18.5 x 9.85 x 11.81"" / 47.00 x 25.00 x 30.00 cm",365,7290015563048,1.02,0.75,0.8,usd
5,OR113199,OR-12,ORCA,Orca Shoulder Camera Bag - 6 ,"Sony PXW-FS7, PXW-FS5, PXW-X200, Z150 Panasonic: DVX-200, AG-AC-160A, HPX-270, Blackmagic 2K, 4K, MINI URSA and similarly sized cameras, internal dimensions (L X W X H) :20.1 x 13.4 x 7.9"" / 51.00 x 34.00 x 20.00 cm",289,7290015563055,1.02,0.75,0.8,usd
6,OR113200,OR-13,ORCA,Orca Shoulder Camera Bag (medium) - 5,"Sony PXW- Z150, Z-190, Z-280, FS-5K, PMW-
100/150/200, Panasonic AGAC130A/
160A/270A, AG-CX-350, CANON XF-300 &
EOS-C500 similarly sized cameras,
internal dimensions (L X W X H) :
18.5 x 11.8 x 10.6"" / 46.99 x 29.97 x 26.92 cm",284,7290015563833,1.02,0.75,0.8,usd
7,OR113201,OR-14,ORCA,"Orca Shoulder Bag with built-in trolley
(large) - 7","Blackmagic URSA, Sony PXW-FS7K, PXW-X400K,
PXW-X320, PDWA-680, PXW-X500, Panasonic EVA-
1, LT, AG-HPX-610, AJ-PX380, AJ-PX398, ARRI
ALEXA, ARRI AMIRA. RED EPIC & similarly sized
cameras.
internal dimensions (L X W X H) :
25.00 x 12.59 x 11.81"" / 62.00 x 32.00 x 30.00 cm",490,7290015563284,1.02,0.75,0.8,usd
8,OR113202,OR-16,ORCA,"Orca large trolley for video camera or equipment, with water proof zippers and backpack system
","Sony PXW-FS7, PXW-FS5, PXW-X200, Z150
Panasonic: DVX-200, AG-AC-160A, HPX-270,
Blackmagic 2K, 4K, MINI URSA and similarly sized
cameras.
internal dimensions (L X W X H) :
20.5 X14.5 X 8.5"" / 52 X 37 X 22 cm",385,7290015564441,1.02,0.75,0.8,usd
9,OR113203,OR-17,ORCA,"Orca Magnet Boom Pole Holder  
","Magnetic cuff can be attached to shoulder straps, harness OR-40, poles and trolleys",64,7290015563697,1.02,0.75,0.8,usd
10,OR113204,OR-18,ORCA,Orca transparent pouches set ( 4 pouches ),"Transparent Accessories Pouch kit, designed to help and organize the user?s accessories inside the bag with maximum visibility",26,7290015563574,1.02,0.75,0.8,usd
